epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9345,1.08993,1.92387,1.07653,0.84557,0.74024,0.79794,0.52867,0.85353,1.40015,1.08584,0.000472523,0.000472523,0.000472523
2,61.9726,0.98269,1.10467,1.02696,0.85325,0.81768,0.85785,0.56444,0.87476,0.92416,1.08596,0.000911281,0.000911281,0.000911281
3,88.4677,0.99613,0.9454,1.04325,0.93956,0.83031,0.90379,0.59822,0.86104,0.67962,1.06853,0.00131231,0.00131231,0.00131231
4,114.703,0.97427,0.80385,1.02976,0.89146,0.82917,0.87571,0.60824,0.76842,0.56455,1.04301,0.00125923,0.00125923,0.00125923
5,141.83,0.93079,0.72458,1.01721,0.92824,0.89077,0.92187,0.62602,0.79523,0.57897,1.04283,0.00120265,0.00120265,0.00120265
6,168.918,0.9064,0.66023,0.99593,0.91834,0.88606,0.91344,0.6385,0.78392,0.50875,1.03572,0.00114606,0.00114606,0.00114606
7,195.639,0.88843,0.62509,0.99999,0.93966,0.91435,0.94266,0.64261,0.75548,0.50304,1.03772,0.00108947,0.00108947,0.00108947
8,222.168,0.87698,0.60576,0.99667,0.95133,0.88058,0.92641,0.65685,0.76472,0.48252,1.04033,0.00103288,0.00103288,0.00103288
9,248.754,0.86373,0.57694,0.98624,0.95802,0.90926,0.93799,0.65488,0.74221,0.47522,1.02268,0.000976293,0.000976293,0.000976293
10,277.265,0.84253,0.5556,0.98007,0.97911,0.90054,0.94287,0.66738,0.70471,0.42628,1.01725,0.000919704,0.000919704,0.000919704
11,303.836,0.84075,0.5487,0.97898,0.96524,0.91242,0.94581,0.66907,0.72619,0.40504,1.02325,0.000863116,0.000863116,0.000863116
12,331.289,0.83659,0.53088,0.97855,0.96176,0.91416,0.9523,0.70093,0.71012,0.40145,1.00672,0.000806528,0.000806528,0.000806528
13,358.693,0.82241,0.52404,0.96783,0.96867,0.90155,0.94828,0.67611,0.75722,0.42517,1.02538,0.000749939,0.000749939,0.000749939
14,386.369,0.81101,0.50094,0.96816,0.97019,0.91204,0.94387,0.68499,0.7075,0.39041,1.00583,0.000693351,0.000693351,0.000693351
15,414.204,0.79984,0.49065,0.95895,0.96644,0.92303,0.95286,0.69369,0.71338,0.40733,1.01162,0.000636762,0.000636762,0.000636762
16,459.919,0.78288,0.45564,0.96046,0.94658,0.93394,0.95334,0.69339,0.70887,0.39302,1.01651,0.000580174,0.000580174,0.000580174
17,487.641,0.77459,0.44852,0.95553,0.9604,0.93014,0.9555,0.70558,0.70613,0.37772,1.00541,0.000523586,0.000523586,0.000523586
18,515.507,0.76197,0.43804,0.94784,0.97316,0.94249,0.95975,0.71159,0.67759,0.35191,0.99849,0.000466997,0.000466997,0.000466997
19,542.743,0.75908,0.42828,0.94736,0.96087,0.92005,0.9558,0.70857,0.68705,0.34555,1.00361,0.000410409,0.000410409,0.000410409
20,570.164,0.73992,0.42519,0.93934,0.96931,0.94596,0.95974,0.71144,0.68336,0.35364,1.00463,0.00035382,0.00035382,0.00035382
21,598.437,0.73766,0.41258,0.93946,0.96584,0.94284,0.95804,0.72045,0.65821,0.3253,0.99499,0.000297232,0.000297232,0.000297232
22,626.75,0.7274,0.40204,0.93736,0.97569,0.94628,0.95879,0.7208,0.65631,0.33464,0.99376,0.000240644,0.000240644,0.000240644
23,654.768,0.71858,0.39085,0.92751,0.97244,0.94158,0.96022,0.72711,0.65853,0.32142,0.99263,0.000184055,0.000184055,0.000184055
24,682.323,0.70721,0.3846,0.92511,0.97266,0.93918,0.95908,0.72112,0.65494,0.32627,0.99322,0.000127467,0.000127467,0.000127467
25,709.981,0.69702,0.37736,0.91436,0.97475,0.94239,0.95906,0.72927,0.64209,0.30843,0.98788,7.08784e-05,7.08784e-05,7.08784e-05
1,31.9067,1.08993,1.92387,1.07653,0.84557,0.74024,0.79794,0.52867,0.85353,1.40015,1.08584,0.000472523,0.000472523,0.000472523
2,58.7839,0.98536,1.11709,1.03401,0.85297,0.7834,0.83963,0.5275,0.91855,0.7794,1.10381,0.000939462,0.000939462,0.000939462
3,84.8103,1.0042,0.93919,1.04616,0.92265,0.81486,0.88321,0.58746,0.85744,0.66173,1.07757,0.00139697,0.00139697,0.00139697
4,110.695,0.99029,0.8229,1.03722,0.86687,0.87607,0.88595,0.601,0.7945,0.63236,1.05302,0.00138656,0.00138656,0.00138656
5,137.33,0.95132,0.75227,1.02529,0.9253,0.86611,0.91423,0.62356,0.77403,0.5084,1.04838,0.00137241,0.00137241,0.00137241
6,163.866,0.91605,0.67547,1.00557,0.92287,0.88675,0.92436,0.64924,0.74929,0.48334,1.03384,0.00135826,0.00135826,0.00135826
7,190.313,0.90761,0.64182,1.00688,0.94195,0.90151,0.9352,0.64241,0.75758,0.47326,1.03998,0.00134412,0.00134412,0.00134412
8,217.807,0.90292,0.61561,1.00742,0.9042,0.85652,0.9054,0.61845,0.80104,0.51385,1.05737,0.00132997,0.00132997,0.00132997
9,244.507,0.89035,0.60104,0.99908,0.92916,0.86672,0.92313,0.6456,0.79769,0.49116,1.03516,0.00131582,0.00131582,0.00131582
10,271.057,0.87525,0.58352,0.99517,0.94445,0.9136,0.94427,0.67471,0.72161,0.43969,1.01917,0.00130168,0.00130168,0.00130168
11,297.424,0.87714,0.5798,0.99577,0.95097,0.90023,0.93736,0.66306,0.75541,0.45782,1.03058,0.00128753,0.00128753,0.00128753
12,323.729,0.87229,0.56872,0.99398,0.93127,0.89499,0.93629,0.67388,0.76132,0.44132,1.03239,0.00127338,0.00127338,0.00127338
13,350.236,0.86025,0.55161,0.98424,0.96222,0.91447,0.95426,0.67552,0.71564,0.41307,1.02267,0.00125923,0.00125923,0.00125923
14,376.796,0.84448,0.53522,0.98013,0.94532,0.90607,0.93689,0.67001,0.74729,0.41632,1.02507,0.00124509,0.00124509,0.00124509
15,403.278,0.84167,0.53492,0.97632,0.95599,0.93353,0.95368,0.6803,0.72541,0.4383,1.02233,0.00123094,0.00123094,0.00123094
16,429.657,0.84206,0.53526,0.97854,0.956,0.90846,0.94604,0.67595,0.73215,0.43168,1.02158,0.00121679,0.00121679,0.00121679
17,455.798,0.81868,0.51155,0.97227,0.96894,0.93098,0.9513,0.67566,0.72895,0.44557,1.03006,0.00120265,0.00120265,0.00120265
18,481.226,0.82552,0.52825,0.97338,0.94549,0.92219,0.94663,0.68356,0.70815,0.42702,1.0183,0.0011885,0.0011885,0.0011885
19,506.921,0.8299,0.51112,0.97258,0.96193,0.89693,0.94261,0.68628,0.70006,0.42713,1.01447,0.00117435,0.00117435,0.00117435
