epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.521,2.85636,5.8129,1.20487,0.46261,0.04352,0.2403,0.07754,2.45176,2.9935,1.03869,0.000660131,0.000660131,0.000660131
2,243.52,2.78131,2.89541,1.16865,0.52182,0.67148,0.52006,0.17388,2.22227,1.46159,0.99744,0.00127426,0.00127426,0.00127426
3,368.947,2.73439,2.0136,1.15177,0.58038,0.56318,0.49004,0.16191,2.34781,1.35876,1.02885,0.00183558,0.00183558,0.00183558
4,471.837,2.71471,1.75001,1.15306,0.51783,0.42238,0.36391,0.12591,2.65494,1.51354,1.09928,0.0017624,0.0017624,0.0017624
5,596.033,2.6748,1.70062,1.13093,0.64871,0.64621,0.63721,0.23863,2.23965,1.22293,0.99344,0.0016832,0.0016832,0.0016832
6,1061.84,2.62958,1.59578,1.13005,0.7542,0.70397,0.71036,0.26243,2.1302,1.15555,0.99058,0.001604,0.001604,0.001604
7,1122.44,2.61158,1.524,1.11546,0.55957,0.56416,0.58277,0.2072,2.29809,1.43468,1.00203,0.0015248,0.0015248,0.0015248
8,1182.42,2.52074,1.49024,1.09306,0.62522,0.68592,0.67486,0.27733,2.14743,1.22679,0.9784,0.0014456,0.0014456,0.0014456
9,1258.62,2.53431,1.48031,1.10314,0.69346,0.75136,0.73985,0.289,2.10083,1.14528,0.97866,0.0013664,0.0013664,0.0013664
10,1301.54,2.51535,1.46518,1.09499,0.78285,0.75451,0.78399,0.28947,2.08147,1.11003,0.97379,0.0012872,0.0012872,0.0012872
11,1355.93,2.43313,1.41583,1.09077,0.72276,0.76895,0.74218,0.2955,2.21137,1.0859,1.0107,0.001208,0.001208,0.001208
12,1426.58,2.41954,1.38449,1.0646,0.81876,0.82671,0.8318,0.34926,1.99583,0.97477,0.96116,0.0011288,0.0011288,0.0011288
13,1525.6,2.40727,1.39277,1.07611,0.83585,0.79044,0.80508,0.29817,2.10717,1.08661,0.97776,0.0010496,0.0010496,0.0010496
14,1602.25,2.38313,1.34067,1.06245,0.8258,0.86643,0.88813,0.38655,1.91407,0.97202,0.94706,0.0009704,0.0009704,0.0009704
15,1676,2.36763,1.34628,1.05876,0.7832,0.74338,0.70862,0.28,2.06404,1.06951,0.97534,0.0008912,0.0008912,0.0008912
16,1769.95,2.3029,1.35677,1.09548,0.89446,0.88733,0.9102,0.39537,1.86331,0.94139,0.93952,0.000812,0.000812,0.000812
17,1824.58,2.26291,1.33196,1.06854,0.74307,0.83394,0.79672,0.3286,2.00324,1.03887,0.95486,0.0007328,0.0007328,0.0007328
18,1879.29,2.21205,1.25701,1.0705,0.90311,0.87492,0.89748,0.37788,1.92752,0.90708,0.95069,0.0006536,0.0006536,0.0006536
19,1950.44,2.17739,1.21573,1.05657,0.91092,0.89892,0.89457,0.38715,1.92745,0.89896,0.94435,0.0005744,0.0005744,0.0005744
20,2005.36,2.15857,1.20232,1.05153,0.889,0.8917,0.90951,0.39349,1.89744,0.9098,0.9441,0.0004952,0.0004952,0.0004952
21,2060.15,2.15502,1.18498,1.06346,0.91235,0.8917,0.90784,0.40108,1.88288,0.86445,0.94742,0.000416,0.000416,0.000416
22,2132.3,2.11569,1.14176,1.04163,0.90062,0.88337,0.88216,0.37955,1.90534,0.8927,0.95067,0.0003368,0.0003368,0.0003368
23,2187.16,2.06778,1.10771,1.03309,0.93631,0.91336,0.93177,0.42232,1.84505,0.8291,0.93816,0.0002576,0.0002576,0.0002576
24,2242.56,2.0028,1.08749,1.01773,0.94686,0.92058,0.95001,0.41952,1.83981,0.81874,0.93715,0.0001784,0.0001784,0.0001784
25,2311.96,1.99806,1.0782,1.01995,0.94155,0.92419,0.94073,0.42317,1.85497,0.83284,0.94219,9.92e-05,9.92e-05,9.92e-05
